indice,Temperature,Humidity,Heat Index,CO,Smoke,etiqueta
1,22.1,43.0,21.49,0,0,0
2,22.1,43.1,21.49,0,0,0
3,22.1,43.1,21.49,0,0,0
4,22.1,43.0,21.49,0,0,0
5,22.1,43.1,21.49,0,0,0
6,22.1,43.1,21.49,0,0,0
7,22.1,43.1,21.49,0,0,0
8,22.1,43.1,21.49,0,0,0
9,22.1,43.2,21.49,0,0,0
10,22.1,43.2,21.49,0,0,0
11,22.1,43.1,21.49,0,0,0
12,22.1,43.2,21.49,0,0,0
13,22.1,43.2,21.49,0,0,0
14,22.1,43.2,21.49,0,0,0
15,22.1,43.2,21.49,0,0,0
16,22.1,43.2,21.49,0,0,0
17,22.2,43.2,21.6,0,0,0
18,22.1,43.2,21.49,0,0,0
19,22.2,43.2,21.6,0,0,0
20,22.2,43.2,21.6,0,0,0
21,22.2,43.2,21.6,0,0,0
22,22.2,43.2,21.6,0,0,0
23,22.2,43.2,21.6,0,0,0
24,22.2,43.2,21.6,0,0,0
25,22.2,43.2,21.6,0,0,0
26,22.2,43.3,21.61,0,0,0
27,22.2,43.3,21.61,0,0,0
28,22.2,43.3,21.61,0,0,0
29,22.2,43.3,21.61,0,0,0
30,22.2,43.3,21.61,0,0,0
31,22.2,43.3,21.61,0,0,0
32,22.2,43.2,21.6,0,0,0
33,22.2,43.2,21.6,0,0,0
34,22.2,43.2,21.6,0,0,0
35,22.2,43.1,21.6,0,0,0
36,22.2,43.1,21.6,0,0,0
37,22.2,43.1,21.6,0,0,0
38,22.2,43.1,21.6,0,0,0
39,22.2,43.1,21.6,0,0,0
40,22.2,43.1,21.6,0,0,0
41,22.2,43.1,21.6,0,0,0
42,22.2,43.0,21.6,0,0,0
43,22.2,43.0,21.6,0,0,0
44,22.2,43.0,21.6,0,0,0
45,22.3,43.0,21.71,0,0,0
46,22.2,42.9,21.6,0,0,0
47,22.3,42.9,21.71,0,0,0
48,22.3,42.9,21.71,0,0,0
49,22.3,42.9,21.71,0,0,0
50,22.3,42.8,21.7,0,0,0
51,22.3,42.9,21.71,0,0,0
52,22.3,43.0,21.71,0,0,0
53,22.3,43.0,21.71,0,0,0
54,22.3,42.9,21.71,0,0,0
55,22.3,42.9,21.71,0,0,0
56,22.3,42.9,21.71,0,0,0
57,22.3,42.8,21.7,0,0,0
58,22.3,42.8,21.7,0,0,0
59,22.3,42.7,21.7,0,0,0
60,22.3,42.6,21.7,0,0,0
61,22.3,42.6,21.7,0,0,0
62,22.3,42.6,21.7,0,0,0
63,22.3,42.6,21.7,0,0,0
64,22.3,42.6,21.7,0,0,0
65,22.3,42.5,21.7,0,0,0
66,22.3,42.5,21.7,0,0,0
67,22.3,42.4,21.69,0,0,0
68,22.4,42.4,21.8,0,0,0
69,22.3,42.4,21.69,0,0,0
70,22.3,42.4,21.69,0,0,0
71,22.3,42.4,21.69,0,0,0
72,22.3,42.3,21.69,0,0,0
73,22.3,42.4,21.69,0,0,0
74,22.4,42.4,21.8,0,0,0
75,22.4,42.4,21.8,0,0,0
76,22.4,42.3,21.8,0,0,0
77,22.4,42.3,21.8,0,0,0
78,22.4,42.4,21.8,0,0,0
79,22.4,42.3,21.8,0,0,0
80,22.4,42.4,21.8,0,0,0
81,22.4,42.4,21.8,0,0,0
82,22.4,42.4,21.8,0,0,0
83,22.4,42.4,21.8,0,0,0
84,22.4,42.4,21.8,0,0,0
85,22.4,42.4,21.8,0,0,0
86,22.4,42.4,21.8,0,0,0
87,22.4,42.5,21.81,0,0,0
88,22.4,42.4,21.8,0,0,0
89,22.4,42.4,21.8,0,0,0
90,22.4,42.4,21.8,0,0,0
91,22.4,42.4,21.8,0,0,0
92,22.4,42.4,21.8,0,0,0
93,22.4,42.5,21.81,0,0,0
94,22.4,42.5,21.81,0,0,0
95,22.4,42.5,21.81,0,0,0
96,22.4,42.5,21.81,0,0,0
97,22.4,42.6,21.81,0,0,0
98,22.4,42.6,21.81,0,0,0
99,22.4,42.6,21.81,0,0,0
100,22.4,42.6,21.81,0,0,0
101,22.5,42.7,21.92,0,0,0
102,22.4,42.6,21.81,0,0,0
103,22.4,42.6,21.81,0,0,0
104,22.4,42.6,21.81,0,0,0
105,22.5,42.6,21.92,0,0,0
106,22.5,42.7,21.92,0,0,0
107,22.5,42.7,21.92,0,0,0
108,22.5,42.7,21.92,0,0,0
109,22.5,42.6,21.92,0,0,0
110,22.5,42.6,21.92,0,0,0
111,22.5,42.7,21.92,0,0,0
112,22.5,42.7,21.92,0,0,0
113,22.5,42.7,21.92,0,0,0
114,22.5,42.6,21.92,0,0,0
115,22.5,42.6,21.92,0,0,0
116,22.5,42.5,21.92,0,0,0
117,22.5,42.4,21.91,0,0,0
118,22.5,42.4,21.91,0,0,0
119,22.5,42.4,21.91,0,0,0
120,22.5,42.4,21.91,0,0,0
121,22.5,42.3,21.91,0,0,0
122,22.5,42.4,21.91,0,0,0
123,22.5,42.3,21.91,0,0,0
124,22.5,42.4,21.91,0,0,0
125,22.5,42.3,21.91,0,0,0
126,22.5,42.3,21.91,0,0,0
127,22.5,42.3,21.91,0,0,0
128,22.5,42.3,21.91,0,0,0
129,22.5,42.3,21.91,0,0,0
130,22.5,42.3,21.91,0,0,0
131,22.5,42.3,21.91,0,0,0
132,22.5,42.3,21.91,0,0,0
133,22.5,42.4,21.91,0,0,0
134,22.5,42.3,21.91,0,0,0
135,22.5,42.3,21.91,0,0,0
136,22.5,42.3,21.91,0,0,0
137,22.5,42.3,21.91,0,0,0
138,22.5,42.3,21.91,0,0,0
139,22.5,42.3,21.91,0,0,0
140,22.5,42.4,21.91,0,0,0
141,22.5,42.3,21.91,0,0,0
142,22.6,42.3,22.02,0,0,0
143,22.6,42.4,22.02,0,0,0
144,22.5,42.4,21.91,0,0,0
145,22.6,42.4,22.02,0,0,0
146,22.6,42.4,22.02,0,0,0
147,22.6,42.3,22.02,0,0,0
148,22.6,42.3,22.02,0,0,0
149,22.6,42.3,22.02,0,0,0
150,22.6,42.3,22.02,0,0,0
151,22.6,42.3,22.02,0,0,0
152,22.6,42.2,22.02,0,0,0
153,22.6,42.3,22.02,0,0,0
154,22.6,42.3,22.02,0,0,0
155,22.6,42.3,22.02,0,0,0
156,22.6,42.3,22.02,0,0,0
157,22.6,42.3,22.02,0,0,0
158,22.6,42.3,22.02,0,0,0
159,22.6,42.2,22.02,0,0,0
160,22.6,42.2,22.02,0,0,0
161,22.6,42.2,22.02,0,0,0
162,22.6,42.2,22.02,0,0,0
163,22.6,42.2,22.02,0,0,0
164,22.6,42.2,22.02,0,0,0
165,22.6,42.2,22.02,0,0,0
166,22.6,42.2,22.02,0,0,0
167,22.6,42.1,22.01,0,0,0
168,22.6,42.1,22.01,0,0,0
169,22.6,42.1,22.01,0,0,0
170,22.6,42.0,22.01,0,0,0
171,22.6,42.1,22.01,0,0,0
172,22.6,42.1,22.0,0,0,0
173,22.6,42.1,22.01,0,0,0
174,22.6,42.1,22.01,0,0,0
175,22.6,42.1,22.01,0,0,0
176,22.7,42.1,22.12,0,0,0
177,22.6,42.0,22.01,0,0,0
178,22.6,42.0,22.01,0,0,0
179,22.6,42.1,22.01,0,0,0
180,22.7,42.1,22.12,0,0,0
181,22.7,42.1,22.12,0,0,0
182,22.7,42.1,22.12,0,0,0
183,22.7,42.1,22.12,0,0,0
184,22.7,42.1,22.12,0,0,0
185,22.7,42.1,22.12,0,0,0
186,22.7,42.2,22.13,0,0,0
187,22.7,42.2,22.13,0,0,0
188,22.7,42.3,22.13,0,0,0
189,22.7,42.4,22.13,0,0,0
190,22.7,42.4,22.13,0,0,0
191,22.7,42.4,22.13,0,0,0
192,22.7,42.4,22.13,0,0,0
193,22.7,42.4,22.13,0,0,0
194,22.7,42.4,22.13,0,0,0
195,22.7,42.4,22.13,0,0,0
196,22.7,42.5,22.14,0,0,0
197,22.7,42.5,22.14,0,0,0
198,22.7,42.4,22.13,0,0,0
199,22.7,42.4,22.13,0,0,0
200,22.7,42.5,22.14,0,0,0
201,22.7,42.4,22.13,0,0,0
202,22.7,42.5,22.14,0,0,0
203,22.7,42.5,22.14,0,0,0
204,22.7,42.5,22.14,0,0,0
205,22.7,42.5,22.14,0,0,0
206,22.7,42.4,22.13,0,0,0
207,22.7,42.4,22.13,0,0,0
208,22.7,42.4,22.13,0,0,0
209,22.7,42.4,22.13,0,0,0
210,22.7,42.4,22.13,0,0,0
211,22.7,42.3,22.13,0,0,0
212,22.7,42.3,22.13,0,0,0
213,22.7,42.3,22.13,0,0,0
214,22.7,42.2,22.13,0,0,0
215,22.7,42.3,22.13,0,0,0
216,22.7,42.3,22.13,0,0,0
217,22.7,42.3,22.13,0,0,0
218,22.7,42.2,22.13,0,0,0
219,22.7,42.2,22.13,0,0,0
220,22.7,42.2,22.13,0,0,0
221,22.7,42.2,22.13,0,0,0
222,22.7,42.1,22.12,0,0,0
223,22.7,42.1,22.12,0,0,0
224,22.8,42.0,22.23,0,0,0
225,22.7,42.0,22.12,0,0,0
226,22.8,42.1,22.23,0,0,0
227,22.8,42.0,22.23,0,0,0
228,22.7,42.0,22.12,0,0,0
229,22.8,42.0,22.23,0,0,0
230,22.7,42.0,22.12,0,0,0
231,22.8,42.0,22.23,0,0,0
232,22.7,42.0,22.12,0,0,0
233,22.8,41.9,22.23,0,0,0
234,22.8,41.9,22.23,0,0,0
235,22.8,41.9,22.23,0,0,0
236,22.8,41.9,22.23,0,0,0
237,22.8,42.0,22.23,0,0,0
238,22.8,41.9,22.23,0,0,0
239,22.8,41.9,22.23,0,0,0
240,22.8,41.9,22.23,0,0,0
241,22.8,41.9,22.23,0,0,0
242,22.8,41.9,22.23,0,0,0
243,22.8,41.9,22.23,0,0,0
244,22.8,41.9,22.23,0,0,0
245,22.8,41.8,22.23,0,0,0
246,22.8,41.8,22.23,0,0,0
247,22.8,41.8,22.23,0,0,0
248,22.8,41.7,22.22,0,0,0
249,22.8,41.7,22.22,0,0,0
250,22.8,41.6,22.22,0,0,0
251,22.8,41.6,22.22,0,0,0
252,22.8,41.6,22.22,0,0,0
253,22.8,41.6,22.22,0,0,0
254,22.8,41.6,22.22,0,0,0
255,22.8,41.6,22.22,0,0,0
256,22.8,41.6,22.22,0,0,0
257,22.8,41.6,22.22,0,0,0
258,22.8,41.6,22.22,0,0,0
259,22.8,41.6,22.22,0,0,0
260,22.8,41.6,22.22,0,0,0
261,22.8,41.6,22.22,0,0,0
262,22.8,41.6,22.22,0,0,0
263,22.8,41.7,22.22,0,0,0
264,22.8,41.7,22.22,0,0,0
265,22.8,41.7,22.22,0,0,0
266,22.8,41.7,22.22,0,0,0
267,22.8,41.7,22.22,0,0,0
268,22.8,41.8,22.23,0,0,0
269,22.8,41.7,22.22,0,0,0
270,22.8,41.8,22.23,0,0,0
271,22.8,41.7,22.22,0,0,0
272,22.8,41.7,22.22,0,0,0
273,22.8,41.8,22.23,0,0,0
274,22.8,41.7,22.22,0,0,0
275,22.9,41.8,22.34,0,0,0
276,22.9,41.8,22.34,0,0,0
277,22.9,41.8,22.34,0,0,0
278,22.9,41.7,22.33,0,0,0
279,22.9,41.7,22.33,0,0,0
280,22.9,41.7,22.33,0,0,0
281,22.9,41.7,22.33,0,0,0
282,22.9,41.7,22.33,0,0,0
283,22.9,41.7,22.33,0,0,0
284,22.9,41.6,22.33,0,0,0
285,22.9,41.6,22.33,0,0,0
286,22.9,41.7,22.33,0,0,0
287,22.9,41.7,22.33,0,0,0
288,22.9,41.8,22.34,0,0,0
289,22.9,41.8,22.34,0,0,0
290,16.3,51.8,15.34,666,175,1
291,16.3,51.8,15.34,489,167,1
292,16.3,51.8,15.34,546,173,1
293,16.3,51.8,15.34,565,161,1
294,16.3,51.8,15.34,528,152,1
295,16.3,51.8,15.34,565,157,1
296,16.3,51.8,15.34,518,162,1
297,16.3,51.8,15.34,467,165,1
298,16.3,51.8,15.34,565,158,1
299,16.3,51.8,15.34,565,153,1
300,16.3,51.8,15.34,574,164,1
301,16.3,51.8,15.34,502,171,1
302,16.3,51.8,15.34,565,138,1
303,16.3,51.8,15.34,570,179,1
304,16.3,51.8,15.34,579,164,1
305,16.3,51.8,15.34,545,168,1
306,16.3,51.8,15.34,546,169,1
307,16.3,51.8,15.34,555,165,1
308,16.3,51.8,15.34,550,1163,1
309,16.3,51.8,15.34,666,175,1
310,16.3,51.8,15.34,489,167,1
311,16.3,51.8,15.34,546,173,1
312,16.3,51.8,15.34,565,161,1
313,16.3,51.8,15.34,528,152,1
314,16.3,51.8,15.34,565,157,1
315,16.3,51.8,15.34,518,162,1
316,16.3,51.8,15.34,467,165,1
317,16.3,51.8,15.34,565,158,1
318,16.3,51.8,15.34,565,153,1
319,16.3,51.8,15.34,574,164,1
320,16.3,51.8,15.34,502,171,1
321,16.3,51.8,15.34,565,138,1
322,16.3,51.8,15.34,570,179,1
323,16.3,51.8,15.34,579,164,1
324,16.3,51.8,15.34,545,168,1
325,16.3,51.8,15.34,546,169,1
326,16.3,51.8,15.34,555,165,1
327,22.6,34.6,21.82,3,3,0
328,22.6,34.6,21.82,3,3,0
329,22.6,34.6,21.82,3,3,0
330,22.6,34.6,21.82,2,2,0
331,22.6,34.6,21.82,2,2,0
332,22.6,34.5,21.82,2,2,0
333,22.6,34.5,21.82,3,2,0
334,22.6,34.5,21.82,2,3,0
335,22.6,34.5,21.82,3,2,0
336,22.6,34.4,21.81,3,2,0
337,22.6,34.4,21.81,2,2,0
338,22.6,34.4,21.81,2,3,0
339,22.6,34.4,21.81,2,2,0
340,22.6,34.3,21.81,2,2,0
341,22.6,34.3,21.81,2,2,0
342,22.6,34.3,21.81,2,2,0
343,22.6,34.3,21.81,3,2,0
344,22.5,34.2,21.7,3,2,0
345,22.5,34.2,21.7,3,3,0
346,22.5,34.2,21.7,3,2,0
347,22.5,34.2,21.7,3,3,0
348,22.5,34.2,21.7,3,3,0
349,22.5,34.2,21.7,3,3,0
350,22.5,34.2,21.7,4,3,0
351,22.5,34.2,21.7,3,3,0
352,22.5,34.1,21.7,4,3,0
353,22.5,34.1,21.7,4,3,0
354,22.5,34.1,21.7,4,3,0
355,22.5,34.1,21.7,4,3,0
356,22.5,34.2,21.7,4,3,0
357,22.5,34.2,21.7,33,17,0
358,23.2,34.4,22.47,30,17,0
359,23.2,34.4,22.47,31,17,0
360,23.2,34.4,22.47,32,14,0
361,23.2,34.4,22.47,29,17,0
362,23.2,34.4,22.47,32,17,0
363,23.2,34.4,22.47,32,17,0
364,23.2,34.4,22.47,28,16,0
365,23.2,34.3,22.47,28,17,0
366,23.2,34.3,22.47,28,16,0
367,23.2,34.3,22.47,27,16,0
368,23.2,34.3,22.47,28,15,0
369,23.3,34.2,22.58,29,18,0
370,23.3,34.2,22.58,30,17,0
371,23.3,34.2,22.58,27,14,0
372,23.3,34.2,22.58,28,16,0
373,23.4,34.2,22.69,29,17,0
374,23.4,34.2,22.69,29,17,0
375,23.4,34.2,22.69,27,16,0
376,23.4,34.2,22.69,29,17,0
377,23.4,34.1,22.69,85,38,0
378,24.7,32.3,24.07,96,43,0
379,24.7,32.3,24.07,99,47,0
380,24.7,32.3,24.07,109,49,0
381,24.7,32.3,24.07,110,52,0
382,24.7,32.3,24.07,137,56,0
383,24.7,32.3,24.07,134,52,0
384,24.7,32.3,24.07,125,44,0
385,24.8,32.4,24.18,91,39,0
386,24.8,32.4,24.18,94,39,0
387,24.8,32.4,24.18,80,36,0
388,24.8,32.4,24.18,79,36,0
389,24.9,32.4,24.29,71,33,0
390,24.9,32.4,24.29,64,32,0
391,24.9,32.4,24.29,68,31,0
392,24.9,32.4,24.29,69,31,0
393,25.0,32.3,24.4,66,31,0
394,25.0,32.3,24.4,59,30,0
395,25.0,32.3,24.4,60,29,0
396,25.0,32.3,24.4,58,29,0
397,25.0,32.1,24.39,60,27,0
398,25.0,32.1,24.39,58,25,0
399,25.0,32.1,24.39,54,27,0
400,25.9,31.1,25.36,504,217,1
401,25.9,31.1,25.36,753,200,1
402,25.9,31.0,25.35,3476,867,1
403,25.9,31.0,25.35,8118,227,1
404,25.9,31.0,25.35,2920,6652,1
405,25.9,31.0,25.35,46754,5417,1
406,26.0,31.2,25.47,70584,6838,1
407,26.0,31.2,25.47,73460,7097,1
408,26.0,31.2,25.47,74373,7567,1
409,26.0,31.2,25.47,73042,7284,1
410,26.1,31.0,25.58,60305,5895,1
411,26.1,31.0,25.58,56448,5028,1
412,26.1,31.0,25.58,43615,5120,1
413,26.1,31.0,25.58,50767,5660,1
414,26.1,30.9,25.57,41006,4695,1
415,26.1,30.9,25.57,45291,5335,1
416,26.1,30.9,25.57,54102,5357,1
417,26.1,30.9,25.57,51966,5604,1
418,26.1,30.9,25.57,48510,7365,1
419,26.1,30.9,25.57,75609,8597,1
420,26.1,30.9,25.57,84349,8124,1
421,26.1,30.9,25.57,91286,8431,1
422,26.1,30.8,25.57,120301,10491,1
423,26.1,30.8,25.57,140616,18449,1
424,26.1,30.8,25.57,319734,24861,1
425,26.1,30.8,25.57,433469,35198,1
426,26.1,30.9,25.57,1059783,56940,1
427,26.1,30.9,25.57,1111950,54684,1
428,26.1,30.9,25.57,1671441,100359,1
429,26.1,30.9,25.57,2287995,57990,1
430,26.1,30.9,25.57,4298953,253207,1
431,26.1,30.9,25.57,1529580,56202,1
432,26.1,30.9,25.57,672738,80883,1
433,26.1,30.9,25.57,2165969,78939,1
434,26.1,30.7,25.57,603245,34804,1
435,26.1,30.7,25.57,466447,25633,1
436,26.1,30.7,25.57,357852,11824,1
437,26.1,30.7,25.57,172374,12165,1
438,26.1,30.6,25.56,169495,13605,1
439,26.1,30.6,25.56,226800,21130,1
440,26.1,30.6,25.56,350798,23741,1
441,26.1,30.6,25.56,436495,30660,1
442,26.1,30.6,25.56,583409,43604,1
443,26.1,30.6,25.56,821123,44464,1
444,26.1,30.6,25.56,876996,48480,1
445,26.1,30.6,25.56,1307264,66728,1
446,26.0,30.5,25.45,726681,55747,1
447,26.0,30.5,25.45,805225,36519,1
448,26.0,30.5,25.45,89086,1850,1
449,26.0,30.5,25.45,15094,2236,1
450,26.0,30.4,25.45,14991,2080,1
451,26.0,30.4,25.45,15614,2309,1
452,26.0,30.4,25.45,20559,2574,1
453,26.0,30.4,25.45,19204,2498,1
454,26.0,30.4,25.45,19239,2401,1
